#size(cm)    E(eV)        Qabs         Qsca         g(cos)       
1.585000e-07 1.964884e-03 5.461000e-07 1.007000e-19 0.000000e+00 
1.585000e-07 2.081319e-03 6.127000e-07 1.268000e-19 0.000000e+00 
1.585000e-07 2.204947e-03 6.876000e-07 1.597000e-19 0.000000e+00 
1.585000e-07 2.335359e-03 7.716000e-07 2.010000e-19 0.000000e+00 
1.585000e-07 2.473747e-03 8.659000e-07 2.531000e-19 0.000000e+00 
1.585000e-07 2.620122e-03 9.719000e-07 3.186000e-19 0.000000e+00 
1.585000e-07 2.775558e-03 1.091000e-06 4.011000e-19 0.000000e+00 
1.585000e-07 2.940104e-03 1.224000e-06 5.049000e-19 0.000000e+00 
1.585000e-07 3.114398e-03 1.374000e-06 6.357000e-19 0.000000e+00 
1.585000e-07 3.299207e-03 1.542000e-06 8.004000e-19 0.000000e+00 
1.585000e-07 3.494481e-03 1.731000e-06 1.008000e-18 0.000000e+00 
1.585000e-07 3.701021e-03 1.944000e-06 1.269000e-18 0.000000e+00 
1.585000e-07 3.921069e-03 2.183000e-06 1.597000e-18 0.000000e+00 
1.585000e-07 4.153574e-03 2.451000e-06 2.011000e-18 0.000000e+00 
1.585000e-07 4.399723e-03 2.752000e-06 2.532000e-18 0.000000e+00 
1.585000e-07 4.659308e-03 3.090000e-06 3.189000e-18 0.000000e+00 
1.585000e-07 4.935676e-03 3.469000e-06 4.015000e-18 0.000000e+00 
1.585000e-07 5.229194e-03 3.897000e-06 5.055000e-18 0.000000e+00 
1.585000e-07 5.537481e-03 4.379000e-06 6.365000e-18 0.000000e+00 
1.585000e-07 5.867685e-03 4.920000e-06 8.014000e-18 0.000000e+00 
1.585000e-07 6.214747e-03 5.529000e-06 1.009000e-17 0.000000e+00 
1.585000e-07 6.580902e-03 6.213000e-06 1.271000e-17 0.000000e+00 
1.585000e-07 6.973239e-03 6.981000e-06 1.600000e-17 0.000000e+00 
1.585000e-07 7.384407e-03 7.848000e-06 2.015000e-17 0.000000e+00 
1.585000e-07 7.822347e-03 8.826000e-06 2.538000e-17 0.000000e+00 
1.585000e-07 8.287713e-03 9.928000e-06 3.196000e-17 0.000000e+00 
1.585000e-07 8.774536e-03 1.117000e-05 4.025000e-17 0.000000e+00 
1.585000e-07 9.294167e-03 1.257000e-05 5.069000e-17 0.000000e+00 
1.585000e-07 9.847831e-03 1.415000e-05 6.384000e-17 0.000000e+00 
1.585000e-07 1.042760e-02 1.594000e-05 8.042000e-17 0.000000e+00 
1.585000e-07 1.105028e-02 1.795000e-05 1.013000e-16 0.000000e+00 
1.585000e-07 1.170767e-02 2.023000e-05 1.276000e-16 0.000000e+00 
1.585000e-07 1.239842e-02 2.281000e-05 1.607000e-16 0.000000e+00 
1.585000e-07 1.313253e-02 2.574000e-05 2.024000e-16 0.000000e+00 
1.585000e-07 1.391049e-02 2.905000e-05 2.550000e-16 0.000000e+00 
1.585000e-07 1.473546e-02 3.281000e-05 3.212000e-16 0.000000e+00 
1.585000e-07 1.560924e-02 3.707000e-05 4.045000e-16 0.000000e+00 
1.585000e-07 1.653343e-02 4.187000e-05 5.095000e-16 0.000000e+00 
1.585000e-07 1.751437e-02 4.735000e-05 6.416000e-16 0.000000e+00 
1.585000e-07 1.855218e-02 5.358000e-05 8.077000e-16 0.000000e+00 
1.585000e-07 1.964884e-02 6.061000e-05 1.017000e-15 0.000000e+00 
1.585000e-07 2.081319e-02 6.856000e-05 1.279000e-15 0.000000e+00 
1.585000e-07 2.204947e-02 7.756000e-05 1.609000e-15 0.000000e+00 
1.585000e-07 2.335359e-02 8.770000e-05 2.022000e-15 0.000000e+00 
1.585000e-07 2.473747e-02 9.906000e-05 2.541000e-15 0.000000e+00 
1.585000e-07 2.620122e-02 1.119000e-04 3.191000e-15 0.000000e+00 
1.585000e-07 2.775558e-02 1.263000e-04 4.004000e-15 0.000000e+00 
1.585000e-07 2.940104e-02 1.424000e-04 5.022000e-15 0.000000e+00 
1.585000e-07 3.114398e-02 1.603000e-04 6.283000e-15 0.000000e+00 
1.585000e-07 3.299207e-02 1.800000e-04 7.856000e-15 0.000000e+00 
1.585000e-07 3.494481e-02 2.011000e-04 9.849000e-15 0.000000e+00 
1.585000e-07 3.701021e-02 2.251000e-04 1.235000e-14 0.000000e+00 
1.585000e-07 3.921069e-02 2.536000e-04 1.547000e-14 0.000000e+00 
1.585000e-07 4.153574e-02 2.864000e-04 1.935000e-14 0.000000e+00 
1.585000e-07 4.399723e-02 3.229000e-04 2.411000e-14 0.000000e+00 
1.585000e-07 4.659308e-02 3.650000e-04 3.005000e-14 0.000000e+00 
1.585000e-07 4.935676e-02 4.137000e-04 3.749000e-14 0.000000e+00 
1.585000e-07 5.229194e-02 4.677000e-04 4.633000e-14 0.000000e+00 
1.585000e-07 5.537481e-02 5.309000e-04 5.727000e-14 0.000000e+00 
1.585000e-07 5.867685e-02 6.042000e-04 6.980000e-14 0.000000e+00 
1.585000e-07 6.214747e-02 6.914000e-04 8.413000e-14 0.000000e+00 
1.585000e-07 6.580902e-02 7.688000e-04 9.403000e-14 0.000000e+00 
1.585000e-07 6.973239e-02 7.720000e-04 9.659000e-14 0.000000e+00 
1.585000e-07 7.384407e-02 7.025000e-04 9.770000e-14 0.000000e+00 
1.585000e-07 7.822347e-02 6.007000e-04 1.064000e-13 0.000000e+00 
1.585000e-07 8.287713e-02 5.095000e-04 1.320000e-13 0.000000e+00 
1.585000e-07 8.774536e-02 4.588000e-04 1.895000e-13 0.000000e+00 
1.585000e-07 9.294167e-02 5.482000e-04 2.922000e-13 0.000000e+00 
1.585000e-07 9.847831e-02 7.239000e-04 4.210000e-13 0.000000e+00 
1.585000e-07 1.042760e-01 9.619000e-04 5.808000e-13 0.000000e+00 
1.585000e-07 1.105028e-01 1.250000e-03 7.693000e-13 0.000000e+00 
1.585000e-07 1.170767e-01 1.651000e-03 1.015000e-12 0.000000e+00 
1.585000e-07 1.239842e-01 2.005000e-03 1.133000e-12 0.000000e+00 
1.585000e-07 1.313253e-01 1.723000e-03 1.021000e-12 3.340000e-07 
1.585000e-07 1.391049e-01 1.427000e-03 5.543000e-13 3.750000e-07 
1.585000e-07 1.473546e-01 9.918000e-04 3.020000e-13 4.200000e-07 
1.585000e-07 1.560924e-01 4.743000e-04 1.604000e-13 4.710000e-07 
1.585000e-07 1.653343e-01 2.093000e-04 3.703000e-13 5.290000e-07 
1.585000e-07 1.751437e-01 1.643000e-04 7.822000e-13 5.940000e-07 
1.585000e-07 1.855218e-01 1.627000e-04 1.278000e-12 6.660000e-07 
1.585000e-07 1.964884e-01 1.619000e-04 1.884000e-12 7.470000e-07 
